label	text_a
5	电梯 一个 美国 女孩 竟然 说 hibabyyouaresosexytonight
2	白 紧张 白 高兴 一场   生二胎   休息 结扎     百年 孤寂 c
2	每次 亲戚 想 特 女
0	守军 一面 坚守 抗击   一面   蜡书 乞援 汪  
5	回事   微博 发了 好多 东西   刚 删掉       难道 被盗
1	丛书 里边   小说   散文   诗歌   寓言   童话   一篇 内容 离不开   童心 二字  
2	钱包 偷   里面 现金   身份证   银行卡   草泥马   已经 知道 说
2	图书馆 当学霸 伞 偷 草泥马 素质
0	及长   举明经   精通   三礼       史记     擅长 词藻  
5	  戈壁 bg4azs 微博 找
2	根本 不能 好好 扒 剧目   肿 办
5	我发 已经 删掉   居然 人帮 发微博
2	科普 比较 中肯   前 几天 狂犬病 日 无良 媒便 博 眼球 散播谣言   造成 惶恐 误导   真是     四年 前发 微博   今天 必要 翻出来 一下   希望 能够 好好 看看   感觉 齐鲁晚报 南方周末 之见 相差 100 xxx 报   利用 媒体 影响力 科学 求证 人为 制造 恐慌   太 可怕     怒  
1	走失 时光 里   遗憾 缺席   珍惜 曾经   感恩 未知   hi    
3	日本 时间 未 22 点   已经 想 睡     是不是 说明   年纪
5	Sephora 一年 1000 刀   到底 花到
2	tmd 别以为 关系 不错 一直 开玩笑   说 一次 就够   一直 骂 猪 好玩   cnmlgbjr 靠靠       忍 久 啊啊啊 啊啊啊 啊啊啊 啊啊啊                        
3	        一场 雪   蚊子 居然 活着   咬 大包
2	受 诅咒 每天晚上 总有 寝室 嗨 心 塞塞
1	已经 提高 工人 劳动生产率 超过 百倍  
2	好不容易 起个 早床 奋身 投入 股票市场   手一快   满仓   告知 明日 大跌 止损 睡   有点 上头 陈老板 知道 先 苦口婆心 嘲笑 一番
3	加班 点才 回到 家   醉   现在 买不起 那件 喜欢 衣服   决定 告诉 全世界   喜欢   没错        
3	买 新 衣服 没到 躺 冰冷 土里 冷不冷 临走前 一定 很痛 有没有 想起 我愿 投胎 转世 好人家 不会 半路 丢下
2	成年人 武力 解决问题   中学生 样 围追堵截   面容 姣好 肢体 动作 话语 全然 泼妇骂街 状   声高 代表 有理   私人 问题 找个 旮旯 安安静静 处理   非得 开阔 领域 表演   他妈的 午休   睡 不好 觉   头疼
2	负 能量 爆棚   传染源   扩散 电脑主板   不能不要 下雨   不能不要 雾 霾   不能 跑 几圈                    
3	想想   做 不到 外表 掩盖 心事      
1	好久好久 没有 聚聚   聊得 high
3	完   哭成 狗   白 百合 每次 拍 电影 哭 成  
1	两天 收到 好多 亲朋好友 挂念 关心 好多 hin 久 没有 讲过 话   说 一定 不要 往人 地方   真的 感动 感动   很久没 回国   感觉 国内 同学 联系 少 好多   记得   超暖
3	  承认 猫咪 可爱   害怕   图书馆 小猫咪   是因为 学校 搬   抓住 最后 最后 时光  
1	11   16 开心 事   真是 好日子   睡 戳
3	心好 痛   班里 个人 争 入党 积极分子 名额   没有
0	学校 名册 记录 莱辛   瓦格纳   歌德 名字  
0	放弃 放弃 追求 追求 安心 忘记 留下 伤痛
1	肚子饿 会 起来 炒饭   记得 放 虾仁 亲生 老公  
3	啥时候 薪水 胡子 长 猛  
2	运动会 白 忙活   全 缝针   这辈子 缝针 干上
5	吓人   国庆   到处 走 不通  
1	努力 最大 动力 选择 想要 生活 生活 选择   ?           ?
3	考试 考完 心情 不好   想要 250 买个 心情   真的 250
3	知道   今天 想 哭 一场 解解 火   听 一站 到底 好嫂 说     滚蛋   肿瘤 君   特别 催泪   毛钱 买 爱奇艺 会员 开看   停不下来   两部 电影 一直 哭 现在   眼睛 已经 肿成 葡萄  
2	啊啊啊 啊啊啊 啊啊啊 啊啊啊 啊啊啊 啊啊啊                                                                 每天 生活 真 tm 有意思   老子 骂人
3	白天 晚上 难熬   已经 挨过 难熬 第一个 昼夜   是不是 坚持 坚持 会 习惯 妈蛋   世界 操蛋 事情 不能 吃饭   饿肚子 继续 折腾  
2	我要 疯掉   爽约   住宿 已经 安排 之后
2	点 餐   跪 吃 完   饿死鬼 投胎     天天 吃 撑    
0	接收 改装 加装 功能 出现 故障 机器  
3	妈   平静 一次 打破   看来 没 办法 变好   太 容易 受 情绪 影响   颓废
2	导了 一上午 电子 单据 NG 系统 慢 真 生不如死
3	刚刚 发尾 最后 一点 黄 发给 剪 完   发现   原来 一头 长发 彻底 更新 完 竟需 三年 久       知道 是否 有人 理发 恐惧症   讨厌 剪刀 吹风机 靠近 耳边   害怕 发出 声音   发丝 剪断   细微 牵扯 感 仿佛 诉说 痛苦 恐惧   竟 会 发颤       悲 催     悲 催     悲 催  
1	群众 智慧 无穷的   也许 会 说出 一个 叫得响 名字  
1	好开心 一个 晚上   朋友 中有 感动   愿 一直 做 快乐  
2	吵醒   惊到 心脏 狂 跳 不止   跳到 难受   真是 习惯 陌生人 同处 一屋   步调 一致 开门 不能 轻点
3	白天 工地   晚上 做 资料   钱难 挣  
3	看到 影子 看到 影子   特定 人会 做 事   特定 年龄 会 做 事   过去 年龄 时间   回不去   再也不会 做
1	业界 良心   这才 真正 产品设计  
1	第一次 看见 流星 许下 愿望 看见 王力宏   觉得 这辈子 见 不到   真的 见到   见 好多好多 次
0	2009 年 全村 经济 总收入 238   02 万元   农民 人均 纯收入 5458 元   农民收入 种植业 为主  
3	总是 夜里 偷偷 哭   总是 觉得 一无是处   总 觉得 未来 相对 迷茫   会 觉得 无论是 家庭 地方 存在 毫无意义   大大的 拖油瓶   会 想家   特别 害怕 回到 地方   怕 想 不敢 想   讨厌 节日   尤其 过年   感觉 每年 过年 象 噩梦     反正 觉得 万人厌   没 理解      
2	觉得 人渣 精虫 上脑   本事 应该 追  
3	十点 干到 现在   终于 十月份 单 盖章 弄完   二楼 超市 没 开门   早饭 没得 吃   午饭 吃 不到   饿 啊啊啊
2	垃圾 裁判       中国队 运气 醉
2	妈蛋   老是 失误 当作 一个 笑话   说 好像 会  
1	喝下 暖心 孩子 送来 久违   三九 胃泰     继续 修改 聪明 努力 姑娘 刚加 完班 发来 日 工作简报     带 工作   真 省心   喜欢
1	  金秀贤     裴秀智     桃李 花歌   好久   好久   久 不再 爱       无意 看到 交集   内心 情绪 决堤 洪水 轰然 爆发   原来   不爱   怕 梦 破碎   期待 落空     爱   20151123 记忆   此刻 脑海 里 最美 瞬间  
2	下套       独立 密码 到底 忘
2	自信   会 觉得 喜欢  
2	有时候 想法 完全 取决于 心情 好坏 nmd
1	週末 預訂 美食 總能 讓 心情 十分 愉悅   謝謝 任性 廚房 出品
0	学校 首批 教育部 继续 教育 示范 基地  
4	恐怖   密集 恐惧症 犯
2	平凡 不能 平凡   多年   名字 写错   I 服 YOU
2	喜欢 面前 装 好人 要港 鬼话 炸 屋 杀 压娘 过子 恨 过子 想 死次 鬼话 脾气 不好 点 从来 没害 算计 主意 没钱 没骗 钱 必要 晓得 想 死 老子 绝对 让你在 前面 死不信 试试 反正 气颠
0	全区 下辖 仓前   东升   对湖   临江   三叉街   渡   下渡 街道 仓山   城门   盖山   建新   螺洲 镇   共有 112 居委会 112 行政村  
2	CTM   逼 骂人   两个 纯 傻 逼   贱人  
2	我大爺 onlinegame   我網 跪
0	个性 需求 随时随地   如影随形   方便快捷  
1	新 一天   希望 顺顺利利   开开心心  
1	成都 迎来 一个 暖阳 耶   乌云 散   阳光 显现 耶   这才 南方 艳阳 里 享受 沐浴     喵 喵 喵   早上好 耶
1	有时候 生活 不能 太 过于 平静   做 从未 想过 事   一路 可能 会 途遇 荆棘   期间 也许 会 恐慌 会 害怕   更 重要 心态 面对   解决 麻烦   这才 应该 学会 本领   廊坊   安次区
3	孤独   没有 多话 想要 讲   知道   没有 多人 着急 着想 听    
2	讨厌 一个 人来 妈 整个 傻 逼 傻 逼 傻 逼
3	衰 人生 不如意          
3	雪   终究 融化   终究 遮盖 不住 肮脏 世界   短暂 停留   雪 世界 带来 一份 美好   保持 几分 寒冷   保持 几分 清醒   认清   定位   短暂 生命 可能 不会 世界 带来 多大 美好   身边 带来 最大 温暖     已经 身边          
2	看到 南 山南 变 大众 真 想到 最炫 民族 风 第一次 听到 小心翼翼 收藏 舍不得 分享 听 后来 身边 听 知道 欣慰   看到 zl 翻唱 心里 极其 恼火   我想 马有 一天 会 站 想要 效果   想 安安静静 做个 独立 音乐   后来 有人 说 张磊 南 山南 吵架  
1	莫名其妙 开心 兴奋   想 快 滴 寒假
2	老板 说 太 心寒   经理 图 做   专门 负责 销售   说 作图 没有 经济效益   纯属 浪费时间   操   眼睛 瞎   上午 作图 累 半死   刚 打印   帮 老板 至少 赚 一张 红 票子     工资   早 走
3	女儿 知道 今晚 行动   临睡前 一直 说 妈妈 不行   后来 知道 可能 提醒 走 出去 一定 小心   学会 保护   听 心里 真 滋味
2	累 困             特 需要 好好 休整             想到 这周 大小 屁事   神                      
2	不让 某人 电话 里 唱歌   手机 成   分分 中想 掐死
3	无力 往上走   没有 下梯 之路  
2	主动 找   原谅 我能 死   掉 肉  
4	医院 值班   一个 人值 整栋 楼 赶脚   先不说 恐怖 d   ? д ? ?     尼玛 吓人 呐
0	环饼 结构 特殊性 有何 功能 意义   尚 清楚   有人 认为 体内 纤维蛋白 凝胶 纤溶酶 吸附 可能 结构  
3	    原来   自作多情      
4	刚 做 一个 可怕 噩梦   压抑 久 梦里 失声痛哭   北京 迷茫 天津 安定   没有 找到 职业 归属   失落 心慌     榆树   榆西      
1	希望 以后 工作 兰州   住 兰州   熟悉 一条 街道   知道 一个 新鲜 地方   清晨 吃 一碗 牛肉面   挤 公交 上班   午后 约 朋友 喝 下午茶   周末 回家 看看 爸妈   足以
2	买 东西 居然 发错 货   真想手 撕   心情 不好
2	一头 饿 得到 处吐 黄水 不肯 吃 拌 药 保健品 狗 饭 老狗   现在 学会 一眼 拌 东西 饭 扭头 吃 猫 粮气   喂饭 已经 快 疯 掉
2	竖 中指          
0	    资本论   卷 780 页  
2	今天 得罪 哪方 神圣   不顺   客户   没 吼   吼   家 开户行 错 付 出去 错   付钱   没 催货   脑子 坏
2	不想 考 心理咨询 师   不想   愿意   讨厌 考试 现在 睡不着
3	真正 绝望 没有 嫉妒 眼泪   满脸 微笑  
2	不该 吃 实验室 橘子   肚子 疼   感觉 大大的 虫子           跑 进 肚子 里
5	到底 冬天 夏天   窗台上 喇叭花 居然 开花
1	  南昌 火车站   国庆 没有 回家 原来 机智   拜拜   密集 恐惧症 看到 热 搜 那图 简直 吓坏   星星 眼   南昌   东华 理工大学
3	过去 一年 一直 变化 推 加速 奔跑 路上   跑 过程 中 根本 没 时间 考虑 累不累   不要 停下来 问题   猛然 回头 缓一缓   发现 早已 身心俱疲   已然 无法 停止   只能 继续 挑战 前行  
3	想 做 激光 脸上 斑 弄掉   男票 妈妈 喜欢 同意 交往
2	感觉 每天晚上 完成 不了 作业   小孩 忙   家长 跟着 忙   甚者 小孩 着急   小学 一年级   下去   家长 厌学  
0	军营 中 最多能 储存 1000 名 士兵  
1	快 肖少 曼妙     帅气 身姿   正装 真 帅气   难道 亲亲 不想 舔 一发  
0	桥为 双层   下通 火车   上驶 汽车  
3	时间 带走 过往   重拾 美好   长发 腰 时    
2	明明 进       进 门限   没 裁判组 看到       解释      
5	一碗 豆腐脑 两个 鸡蛋 两个 馅饼 一根 油条 三根 肠   胃 不好
0	晚上 煮 肥牛 番茄 火锅 加醋 黄瓜   目标 成为 巴斯 胖仔  
2	道理 懂   怨 会怨   骂 会 骂   哭 会 哭   毕竟 心里 难受 道理 释怀   舍弃 不该 犯贱   滚 麻痹 你算个 鬼   善良 美丽 会 有人 好好   早安  
2	义无反顾 冲动   一起 意义   无非 多个 伴  
0	崇祯 十七年   1644 年   三月 六日   李自成 陷宣府   总兵 王承允 杜勋 出城 三十里 迎接   巡抚 朱之 冯大骂     尔上 倚 信   特遣   封疆 属尔  
3	老百姓 真的 不起 医院   上午 随便 逛下   386 大洋 没   唯品 会上 那件 瞧 好久 舍不得 出手 羽绒服   败给 医院
3	变得 出类拔萃 跨过 千山万水 找 原地 画地成牢   心里 有个 付出 期限 到达 时间 必须 走  
1	今天   生日快乐 哒
0	图一   呼喊 回家 自拍   小正爸 睡着 凌晨 点多 开车 回来 里 见 晏小正   爸比 辛苦   lovey 圖二到 圖四是 今天 拍   baby 爸 木有
5	知道 酿 一瓶 贵腐酒 or 冰酒   居然 消耗   10 颗 葡萄树   侍酒 师 指着 酒杯 说   手里 一杯 凝炼 一颗 葡萄树 精华
1	终于 期中考 熬过去   半个 学期 竟然 过去   快点 毕业
3	20 号 之前   木有 男票 带 一起
4	真的 不能 崔雪莉 猫 第二眼   全身 汗毛 竖起 舒服  
0	本书 特色 优势   阅读 本书 要求 读者 ExtJS 非常 熟悉   了解 JavaScript 编程   跟随 本书 从零开始 学习 ExtJS 开发  
3	没有 人会 觉得 会 麻烦   方便 就够   工作 小小 心酸 一下
2	老师 逗我 水果   不会 画  
5	好久没 微博   发现 以前 博文 不见
4	相互 靠近 灵魂 危险 不可 嘴里 眼里 窥探 秘密 一个 胆小 弱者 从不 否认 秘密 一天 找到 庇护 港湾 会 卸下 身上 光芒 刺 骨子里 渴望 做 一个 女人 面对 危险 常常 会 害怕 惊慌失措 强表 镇定 内心 盘算着 漂亮 收场 软弱  
0	父母   不会 有人 真心 你好  
1	一个 幸福 下去   外界 看待   始终 支持 爱   一起 走 下去
4	觉得 可怕 地方   很多 已经 认识 网络 暴力 恐怖   意识 不到 正在 实施 网络 暴力   摊手  
2	愤怒 没有 一个 人有 时间 理   信不信 分 分钟 暴走
3	想 买 书   计算机 方面 高数 方面 贵   加 起来 一千
0	发现   理性 逻辑 系统 相对   右撇子   左脑     感性 逻辑   右脑  
2	放在 家门口 紫荆花 里开 最好 一盆 居然 偷走   便宜 老公 送 好不好   早上 浇水   死 小偷   大摇大摆 端 花 坐电梯 一楼   一楼 楼道 里 散落 掉下来 花   偷 米袋 老鼠   物业 大爷 破案   本宫 一个 公道
2	恨不得 四个 巨人 我车 抬起 湘江 大桥   堵得 死   绿灯 10 秒   红灯 100 秒   shitshitshit      
0	今为 中 缅 边民 互市 口岸   国境线 37   358 公里  
0	北依 国家森林公园 金牛山 森林公园   南临康 王河  
2	白天 没事   晚上 事   加班   加班   加班    
2	爱 没事找事 做     真的 够
5	分享 图片   演了   知道            
3	眯 十分钟   做 一个 梦   好想你   想 心疼
3	逃课 窝火   输   心好 累
0	切下 第一块 钢板 前   已经 完成 产品 三维 设计 演示  
0	期间   宋书 春之妻 彭喜华 大姐 宋书 峰   几次 公安局   提出 宋书 春患 高血压   需要 取保候审  
2	想不到 词语 形容 现在 愤怒     事儿 做 承认 道歉   一声不吭 意思   走到 遇到 这种   SB  
0	省略 宾语       吏 遂 缚 诣 县 之中   谓语 动词   缚 之后 省略 宾语     代楚     吏 遂 缚     诣 县  
1	机场 那种 坐 几十个 巴士 居然 换成 电动       纯 电动   听 不到 发动机 声音   真是 好爽   呼呼
3	人变 胖   孤独   痛苦   兼
2	卧槽   三更半夜 骂街   素质   活过 半百 看不开  
1	  百元 之恋   真 不知 完   前面 60 分钟 剧情 好闷   女主 颓废 演 真心   后来 剧情 越来越 燃   女主 拳击 改变   改变 家人   应当 说 已经 脱离 自暴自弃   越 挫越 自信   结尾 感动 满满   那句 想 赢   好想哭   生活 写照   生活 不易   即便如此   站 起来   勇敢 走 下去   背景音乐  
3	很多 事 想象   想 做 少   得到 回报  
1	烈日 灼心   灼心 两个 小时   三个 影帝 实至名归
2	自欺欺人 真的   心里 终究 有个 疙瘩 下不去
3	发现 看到 忘 过往 会 一点 伤心
1	一大早 碰到 玲玲 姐姐   感觉 好好   高兴
0	是因为 巴氏 消毒 不能 杀灭 芽孢   降低 食物中毒 风险 避免 食物 快速 腐败   国家 强制执行 巴氏 消毒 产品 冷藏 销售  
2	艹   大概 两三个 月 没 微博   居然 发现自己 号 被盗   亲们 见到 色情 消息 切勿 相信   盗号 狗 死   保证 打死  
5	以前 九 十点钟 睡着   知道 睡觉 之前 我嘎婆 看电视   今天 睡得 晚   嘎婆 刚刚 才关 电视 睡觉   原来 每天 看电视 这么晚
2	  阵容 火箭 输   快 换台
0	  英国 英语 虚拟式 中 往往 要加 should   美语 大都 不用  
0	  市场 参与 程度 成交量 最终 反映 价格   C 理论 不能 分离出来  
1	不要 追 一匹 马   追马 时间 种草   到来 年 春暖花开 时   会 一批 骏马 选择  
1	觉得   寒冷 夜晚   互相 抱 取暖 应该 温馨   期待 将来
2	王八蛋   盗 号   有意思   上面 没有 东西
3	知道 干嘛   傻   总是 原来 想法
3	付出   不要 后悔 失去 那份 感情   没有 一个 一生 谈恋爱 做 事情   也许 转身   离开   事情 无法 避免     每天 发生   不要 相信 小说     生活 现实 中     童话 里   没有 会 一辈子    
0	电磁 高频 灶 很多 产品 壳体 不锈钢 材料  
2	优盘 杀毒   几年 心思 存 起来 照片 丢失   心碎 完 唯独 网页 作业   机房 电脑 多毒
1	老妈 包 叶子 饺子 超级   只会 二三
2	臉書上 亂 七八 糟 一堆 無處 罵 人來 這裡 發泄 一個 不能 懂 四五十 歲 歐 桑 概念 歧視 這年紀 還來 念大學 說 真是 佩服 對 死 腦筋 真的 很煩 什麼 要爭 第一 留學生 腰 老師 喜歡 中國學生 還是 看不起 根本 被害 妄想症 說 難 交朋友 她媽 拒人 於 千里 之外 不願 交流 怪 誰
0	冬曲 西支 名窝布 绒曲   发源 直候 玛 雪山   长约 75 公里  
